iteration,delta
1,0.33333333333333337
2,0.11000000000000001
3,0.0726
4,0.07187400000000002
5,0.05138991000000004
6,0.0469624716
7,0.03659159245499999
8,0.03253207813911002
9,0.02714368633205133
10,0.023546093086590836
11,0.02091115841214386
12,0.01847145519388335
13,0.017180929893530733
14,0.016209989407701186
15,0.015224503886402119
16,0.014617385748115275
17,0.014287398416160724
18,0.014111305728525786
19,0.013904261156616471
20,0.013637953842208311
21,0.013326381085001032
22,0.012982855712806718
23,0.012616672855588318
24,0.012235982864894634
25,0.011846765319929231
26,0.011454008226288698
27,0.011061446209745168
28,0.0106720802975383
29,0.010288156039263363
30,0.009911412580849988
31,0.009543122982243801
32,0.00918422408447872
33,0.008835362761207999
34,0.008496968723811005
35,0.008169291894380593
36,0.007852445452873835
37,0.007546432720314411
38,0.00725117348567883
39,0.0069665223169607104
40,0.006692284955170491
41,0.0064282304020540915
42,0.006174101193030301
43,0.005929621200963298
44,0.005694502054562345
45,0.005468448074583687
46,0.005251160237567776
47,0.0050423392243311715
48,0.0048416878137538255
49,0.004648912702974073
50,0.004463725897560611
51,0.004285845740373828
52,0.00411529427912416
53,0.003979345797895717
54,0.0038882148399487226
55,0.003795633894552952
56,0.0037286496037474137
57,0.0036763846259063593
58,0.003639221299990114
59,0.0035954526544118015
60,0.0035459826576987874
61,0.0034916322112380493
62,0.003433144266567212
63,0.003371188727679275
64,0.003306368297601392
65,0.003239223824314852
66,0.003170239636136163
67,0.003099848419635287
68,0.003028435841458621
69,0.002956344782736653
70,0.0028838792736304297
71,0.002811308098366161
72,0.0027388681151924166
73,0.0026667672943363474
74,0.0025951875018347392
75,0.0025242870421735564
76,0.0024542029805567633
77,0.002385053259818637
78,0.0023169386290523564
79,0.0022499443983818312
80,0.002184142034379777
81,0.0021195906091057704
82,0.00205633811517969
83,0.001994422658212369
84,0.0019338735371932092
85,0.00187471222255442
86,0.0018169532409130218
87,0.0017606049747473929
88,0.0017056703846108912
89,0.0016521476608474805
90,0.0016000308111952521
91,0.0015493101901230544
92,0.0014999729752439572
93,0.001452003595686313
94,0.00140538411688107
95,0.0013600945858279756
96,0.0013161133405465986
97,0.0012734172870863536
98,0.0012319821471678538
99,0.0011917826792525177
100,0.0011527928755807326
101,0.0011149861374918357
102,0.001078335431123456
103,0.0010428134253996912
104,0.0010083926140379562
105,0.0009750454231460814
106,0.0009427443058365736
107,0.0009114618251472861
108,0.0008811707264446689
109,0.0008518440003676409
110,0.0008234549372763134
111,0.000795977174075313
112,0.0007693847342008509
113,0.0007436520614845787
114,0.0007187540485397714
115,0.0006946660602527577
116,0.0006713639529080662
117,0.0006488240894220176
118,0.000627023351116085
119,0.0006059391464187103
120,0.0005855494168441888
121,0.0005658326405651448
122,0.000546767833864259
123,0.0005283345507200998
124,0.000510512880757874
125,0.0004932834457730406
126,0.0004766273950143618
127,0.00046052639939325735
128,0.00044496264476900915
129,0.00042991882444692875
130,0.00041537813100656074
131,0.00040132424757149954
132,0.00038774133861263493
133,0.0003746140403760867
134,0.0003619274510077153
135,0.0003496671204452628
136,0.00033781904013580055
137,0.00032636963263649177
138,0.00031530574114024823
139,0.00030461461897302033
140,0.0002942839190959168
141,0.00028430168364734776
142,0.00027465633354983865
143,0.0002653366582095473
144,0.00025633180532574906
145,0.0002476312708330486
146,0.0002392248889870885
147,0.00023110282261074033
148,0.0002232555535091052
149,0.00021567387306398178
150,0.0002083488730161287
151,0.00020127193643737495
152,0.00019443472890257052
153,0.0001878291898603779
154,0.00018144752420801158
155,0.00017528219406970358
156,0.000169325910780449
157,0.00016357162707481
158,0.00015801252947966749
159,0.00015264203091069906
160,0.0001474537634688633
161,0.0001424415714365579
162,0.00013759950447034264
163,0.00013292181098745193
164,0.00012840293174232187
165,0.0001240374935906341
166,0.00011982030343798966
167,0.0001157463423666627
168,0.00011181075994143308
169,0.00010800886868550519
170,0.000104336138726846
171,0.00010078819260800342
172,9.736080025740668e-05
173,9.404987411676391e-05
174,9.085146442178171e-05
175,8.776175463087732e-05
176,8.477705699894145e-05
177,8.189380829215498e-05
178,7.910856563919655e-05
179,7.641800251623199e-05
180,7.381890485980147e-05
181,7.130816730771539e-05
182,6.888278955874405e-05
183,6.653987285326624e-05
184,6.427661656766004e-05
185,6.209031491971606e-05
186,5.9978353782352833e-05
187,5.793820760241486e-05
188,5.5967436420334415e-05
189,5.406368298821462e-05
190,5.2224669983558236e-05
191,5.0448197314922893e-05
192,4.873213951728239e-05
193,4.7074443232708596e-05
194,4.547312477742871e-05
195,4.392626778659814e-05
196,4.243202094106335e-05
197,4.098859576689984e-05
198,3.959426451094483e-05
199,3.824735808632962e-05
200,3.6946264086679115e-05
201,3.5689424867868524e-05
202,3.447533569278516e-05
203,3.330254293998358e-05
204,3.2169642370849516e-05
205,3.1075277457048855e-05
206,3.0018137762377606e-05
207,2.8996957380289512e-05
208,2.8010513423881722e-05
209,2.705762456645111e-05
210,2.6137149631566547e-05
211,2.524798623099178e-05
212,2.438906944834951e-05
213,2.355937056663926e-05
214,2.27578958402197e-05
215,2.1983685306981027e-05
216,2.123581164137356e-05
217,2.051337904618311e-05
218,1.9815522181831913e-05
219,1.914140513131768e-05
220,1.8490220401623514e-05
221,1.7861187956935698e-05
222,1.725355428705555e-05
223,1.6666591505010153e-05
224,1.6099596477303635e-05
225,1.5551889981813005e-05
226,1.502281589549348e-05
