iteration,delta
227,1.4511740410005913e-05
228,1.4018051272102205e-05
229,1.354115705154424e-05
230,1.3080486433447724e-05
231,1.2635487533829703e-05
232,1.2205627239580963e-05
233,1.1790390570309839e-05
234,1.1389280061613327e-05
235,1.1001815169164875e-05
236,1.0627531694562542e-05
237,1.0265981227941534e-05
238,9.916730612791191e-06
239,9.579361425648969e-06
240,9.253469476444565e-06
241,8.93866432349899e-06
242,8.634568806842324e-06
243,8.34081859546476e-06
244,8.057061751831629e-06
245,7.782958310442734e-06
246,7.518179870102948e-06
247,7.262409200903264e-06
248,7.015339864302472e-06
249,6.77667584597641e-06
250,6.546131201434768e-06
251,6.323429713295248e-06
252,6.108304560548117e-06
253,5.900497999034027e-06
254,5.6997610524689435e-06
255,5.50585321457131e-06
256,5.318542160570594e-06
257,5.137603468985397e-06
258,4.962820353004993e-06
259,4.793983400919188e-06
260,4.630890324319736e-06
261,4.47334571707092e-06
262,4.3211608203863605e-06
263,4.174153296621075e-06
264,4.032147011834297e-06
265,3.894971823126259e-06
266,3.7624633766331073e-06
267,3.6344629089635205e-06
268,3.5108170585163023e-06
269,3.391377680239671e-06
270,3.2760016696053995e-06
271,3.164550789969134e-06
272,3.056891507702275e-06
273,2.952894831875774e-06
274,2.852436159828109e-06
275,2.7553951278402877e-06
276,2.661655467139923e-06
277,2.5711048640131295e-06
278,2.4836348260226515e-06
279,2.399140551445633e-06
280,2.3175208040404627e-06
281,2.2386777914773504e-06
282,2.1625170484318446e-06
283,2.088947323397594e-06
284,2.0178804689963137e-06
285,1.9492313366731295e-06
286,1.8829176748891285e-06
287,1.8188600302559976e-06
288,1.7569816519458215e-06
289,1.69720840093035e-06
290,1.6394686598308894e-06
291,1.5836932479862398e-06
292,1.5298153381859692e-06
293,1.4777703767343553e-06
294,1.4274960061788633e-06
295,1.378931990259069e-06
296,1.3320201418531852e-06
297,1.2867042539221885e-06
298,1.2429300312311042e-06
299,1.200645025623004e-06
300,1.1597985734579375e-06
301,1.1203417345506672e-06
302,1.0822272336064032e-06
303,1.0454094038214734e-06
304,1.0098441319827955e-06
305,9.754888055102384e-07
306,9.42302261774941e-07
307,9.102447381392764e-07
308,8.792778248833955e-07
309,8.493644189089267e-07
310,8.204686797186334e-07
311,7.925559857846487e-07
312,7.655928933036904e-07
313,7.39547096673121e-07
314,7.14387389244564e-07
315,6.900836254097875e-07
316,6.66606686017257e-07
317,6.439284420678426e-07
318,6.220217215746615e-07
319,6.008602770335436e-07
320,5.804187537816752e-07
321,5.606726598550438e-07
322,5.415983363454835e-07
323,5.23172929534077e-07
324,5.053743629135354e-07
325,4.881813109314237e-07
326,4.7157317401014254e-07
327,4.555300530673101e-07
328,4.40032725701478e-07
329,4.250626242097155e-07
330,4.1060181199537027e-07
331,3.9663296269587534e-07
332,3.831393394770899e-07
333,3.7010477527132934e-07
334,3.575136523492617e-07
335,3.4535088494491717e-07
336,3.3360189993780764e-07
337,3.222526205881593e-07
338,3.112894484402773e-07
339,3.006992481124904e-07
340,2.9046933097687244e-07
341,2.80587439949187e-07
342,2.7104173516701024e-07
343,2.6182077927927594e-07
344,2.5291352412359913e-07
345,2.443092977921779e-07
346,2.3599779086502792e-07
347,2.2796904497468518e-07
348,2.202134403717082e-07
349,2.127216848224478e-07
350,2.0548480195170526e-07
351,1.9849412102868058e-07
352,1.9174126597576446e-07
353,1.8521814593164265e-07
354,1.789169452592887e-07
355,1.7283011422009054e-07
356,1.669503596479771e-07
357,1.6127063684479026e-07
358,1.5578414069850055e-07
359,1.5048429746755687e-07
360,1.4536475717585873e-07
361,1.4041938595221737e-07
362,1.3564225820328346e-07
363,1.310276504518093e-07
364,1.2657003373162112e-07
365,1.222640669262809e-07
366,1.1810459094041548e-07
367,1.140866221494008e-07
368,1.1020534640415747e-07
369,1.0645611325799109e-07
370,1.0283443063752173e-07
371,9.933595934707995e-08
372,9.595650740656936e-08
373,9.26920258881303e-08
374,8.953860347604703e-08
375,8.649246185932213e-08
376,8.354995117976216e-08
377,8.070754603517472e-08
378,7.796184070540946e-08
379,7.530954548862212e-08
380,7.274748259344932e-08
381,7.027258192016106e-08
382,6.788187861817008e-08
383,6.557250797900593e-08
384,6.334170321586896e-08
385,6.118679130029392e-08
386,5.910519040863704e-08
387,5.7094406535895814e-08
388,5.515203027606219e-08
389,5.3275734712698863e-08
390,5.146327136662521e-08
391,4.971246875262736e-08
392,4.8021229326344894e-08
393,4.638752648666866e-08
394,4.48094029659174e-08
395,4.3284967832235566e-08
396,4.181239476874765e-08
397,4.038991918697832e-08
398,3.901583678356246e-08
399,3.768850120877687e-08
400,3.640632229018337e-08
401,3.516776359013818e-08
402,3.397134129556889e-08
403,3.28156215534392e-08
404,3.1699220137682005e-08
405,3.0620799007508026e-08
406,2.957906630740581e-08
407,2.857277381362877e-08
408,2.760071593499447e-08
409,2.666172760346086e-08
410,2.5754684274126305e-08
411,2.487849887211624e-08
412,2.403212168156088e-08
413,2.3214538569238385e-08
414,2.2424769985374127e-08
415,2.166186985341767e-08
416,2.092492362715248e-08
417,2.0213048734785133e-08
418,1.9525392191965807e-08
419,1.8861129991165626e-08
420,1.8219466269009388e-08
421,1.759963225156369e-08
422,1.700088519962506e-08
423,1.6422507798097286e-08
424,1.5863807045768397e-08
425,1.5324113533665695e-08
426,1.480278066789964e-08
427,1.4299183614951971e-08
428,1.3812719301675713e-08
429,1.3342804749960635e-08
430,1.2888876743666344e-08
431,1.2450391606577682e-08
432,1.2026823981159396e-08
433,1.1617666273444627e-08
434,1.12224282089457e-08
435,1.0840636444076068e-08
436,1.047183334490498e-08
437,1.0115577153690936e-08
438,9.771440878658666e-09
